cluster,gene_representative
Cluster 4359,195.2102.peg.1760
Cluster 4360,195.2120.peg.461
Cluster 4361,195.2136.peg.619
Cluster 4362,195.2137.peg.1507
Cluster 4363,195.2144.peg.1125
Cluster 4364,195.2144.peg.1819
Cluster 4365,195.2171.peg.1712
Cluster 4366,195.2173.peg.368
Cluster 4367,195.2230.peg.183
Cluster 4368,195.2230.peg.386
Cluster 4369,195.2244.peg.1868
Cluster 4370,195.2269.peg.1739
Cluster 4371,195.2024.peg.690
Cluster 4372,195.2024.peg.165
Cluster 4373,195.2024.peg.1057
Cluster 4374,195.2024.peg.867
Cluster 4375,195.2024.peg.1094
Cluster 4376,195.2027.peg.1
Cluster 4377,195.2032.peg.1590
Cluster 4378,195.2032.peg.1333
Cluster 4379,195.2033.peg.1730
Cluster 4380,195.2054.peg.1660
Cluster 4381,195.2056.peg.1681
Cluster 4382,195.2063.peg.1801
Cluster 4383,195.2065.peg.1101
Cluster 4384,195.2069.peg.1365
Cluster 4385,195.2083.peg.1439
Cluster 4386,195.2086.peg.283
Cluster 4387,195.2117.peg.785
Cluster 4388,195.2130.peg.1778
Cluster 4389,195.2130.peg.1505
Cluster 4390,195.2135.peg.1793
Cluster 4391,195.2144.peg.1786
Cluster 4392,195.2163.peg.304
Cluster 4393,195.2182.peg.573
Cluster 4394,195.2182.peg.1813
Cluster 4395,195.2186.peg.1772
Cluster 4396,195.2188.peg.1402
Cluster 4397,195.2192.peg.1987
Cluster 4398,195.2224.peg.1567
Cluster 4399,195.2225.peg.1788
Cluster 4400,195.2237.peg.190
Cluster 4401,195.2237.peg.1757
Cluster 4402,195.2244.peg.1835
Cluster 4403,195.2310.peg.1390
Cluster 4404,195.2024.peg.1181
Cluster 4405,195.2024.peg.1258
Cluster 4406,195.2024.peg.997
Cluster 4407,195.2024.peg.800
Cluster 4408,195.2024.peg.953
Cluster 4409,195.2026.peg.283
Cluster 4410,195.2038.peg.1603
Cluster 4411,195.2051.peg.1529
Cluster 4412,195.2053.peg.784
Cluster 4413,195.2055.peg.145
Cluster 4414,195.2065.peg.290
Cluster 4415,195.2084.peg.1844
Cluster 4416,195.2095.peg.306
Cluster 4417,195.2115.peg.1485
Cluster 4418,195.2129.peg.14
Cluster 4419,195.2201.peg.1822
Cluster 4420,195.2203.peg.1816
Cluster 4421,195.2206.peg.1771
Cluster 4422,195.2244.peg.1825
Cluster 4423,195.2276.peg.1611
Cluster 4424,195.2286.peg.1895
Cluster 4425,195.2287.peg.302
Cluster 4426,195.2296.peg.1815
Cluster 4427,195.2033.peg.117
Cluster 4428,195.2046.peg.1281
Cluster 4429,195.2054.peg.1788
Cluster 4430,195.2080.peg.1454
Cluster 4431,195.2085.peg.1374
Cluster 4432,195.2114.peg.1743
Cluster 4433,195.2123.peg.825
Cluster 4434,195.2130.peg.1780
Cluster 4435,195.2141.peg.1859
Cluster 4436,195.2151.peg.1606
Cluster 4437,195.2152.peg.1677
Cluster 4438,195.2156.peg.431
Cluster 4439,195.2173.peg.611
Cluster 4440,195.2174.peg.614
Cluster 4441,195.2182.peg.773
Cluster 4442,195.2204.peg.285
Cluster 4443,195.2207.peg.944
Cluster 4444,195.2254.peg.2000
Cluster 4445,195.2254.peg.1755
Cluster 4446,195.2314.peg.1750
Cluster 4447,195.2024.peg.251
Cluster 4448,195.2024.peg.425
Cluster 4449,195.2024.peg.837
Cluster 4450,195.2024.peg.42
Cluster 4451,195.2034.peg.966
Cluster 4452,195.2037.peg.1841
Cluster 4453,195.2039.peg.101
Cluster 4454,195.2061.peg.1666
Cluster 4455,195.2153.peg.452
Cluster 4456,195.2165.peg.1191
Cluster 4457,195.2172.peg.340
Cluster 4458,195.2174.peg.1843
Cluster 4459,195.2192.peg.1275
Cluster 4460,195.2192.peg.1673
Cluster 4461,195.2290.peg.1672
Cluster 4462,195.2293.peg.1574
Cluster 4463,195.2313.peg.1880
Cluster 4464,195.2314.peg.1929
Cluster 4465,195.2024.peg.48
Cluster 4466,195.2024.peg.1240
Cluster 4467,195.2032.peg.1352
Cluster 4468,195.2038.peg.572
Cluster 4469,195.2039.peg.1698
Cluster 4470,195.2046.peg.1668
Cluster 4471,195.2069.peg.1331
Cluster 4472,195.2080.peg.1777
Cluster 4473,195.2086.peg.712
Cluster 4474,195.2089.peg.446
Cluster 4475,195.2092.peg.1250
Cluster 4476,195.2100.peg.920
Cluster 4477,195.2110.peg.1763
Cluster 4478,195.2113.peg.1528
Cluster 4479,195.2136.peg.1771
Cluster 4480,195.2144.peg.1777
Cluster 4481,195.2166.peg.175
Cluster 4482,195.2203.peg.1684
Cluster 4483,195.2233.peg.388
Cluster 4484,195.2233.peg.1848
Cluster 4485,195.2244.peg.1874
Cluster 4486,195.2289.peg.1765
Cluster 4487,195.2299.peg.1
Cluster 4488,195.2316.peg.1140
Cluster 4489,195.2024.peg.755
Cluster 4490,195.2024.peg.1626
Cluster 4491,195.2024.peg.1366
Cluster 4492,195.2024.peg.8
Cluster 4493,195.2024.peg.1514
Cluster 4494,195.2024.peg.977
Cluster 4495,195.2024.peg.1228
Cluster 4496,195.2065.peg.328
Cluster 4497,195.2113.peg.769
Cluster 4498,195.2148.peg.1934
Cluster 4499,195.2152.peg.1683
Cluster 4500,195.2152.peg.1635
Cluster 4501,195.2152.peg.1669
Cluster 4502,195.2158.peg.1786
Cluster 4503,195.2159.peg.1203
Cluster 4504,195.2175.peg.373
Cluster 4505,195.2210.peg.410
Cluster 4506,195.2214.peg.1273
Cluster 4507,195.2227.peg.1191
Cluster 4508,195.2232.peg.1836
Cluster 4509,195.2256.peg.1072
Cluster 4510,195.2308.peg.562
Cluster 4511,195.2024.peg.526
Cluster 4512,195.2024.peg.730
Cluster 4513,195.2024.peg.998
Cluster 4514,195.2024.peg.1038
Cluster 4515,195.2029.peg.1809
Cluster 4516,195.2033.peg.1981
Cluster 4517,195.2033.peg.1758
Cluster 4518,195.2053.peg.975
Cluster 4519,195.2056.peg.468
Cluster 4520,195.2063.peg.1940
Cluster 4521,195.2063.peg.1153
Cluster 4522,195.2067.peg.1115
Cluster 4523,195.2069.peg.426
Cluster 4524,195.2087.peg.1836
Cluster 4525,195.2101.peg.1612
Cluster 4526,195.2108.peg.1748
Cluster 4527,195.2121.peg.377
Cluster 4528,195.2130.peg.1821
Cluster 4529,195.2133.peg.1930
Cluster 4530,195.2144.peg.1789
Cluster 4531,195.2162.peg.1579
Cluster 4532,195.2172.peg.874
Cluster 4533,195.2203.peg.1751
Cluster 4534,195.2218.peg.1786
Cluster 4535,195.2225.peg.1871
Cluster 4536,195.2237.peg.1890
Cluster 4537,195.2254.peg.1987
Cluster 4538,195.2288.peg.1758
Cluster 4539,195.2300.peg.1810
Cluster 4540,195.2024.peg.200
Cluster 4541,195.2024.peg.400
Cluster 4542,195.2026.peg.1369
Cluster 4543,195.2026.peg.26
Cluster 4544,195.2039.peg.356
Cluster 4545,195.2047.peg.1588
Cluster 4546,195.2056.peg.1793
Cluster 4547,195.2061.peg.1297
Cluster 4548,195.2063.peg.1087
Cluster 4549,195.2063.peg.1789
Cluster 4550,195.2063.peg.1122
Cluster 4551,195.2063.peg.1583
Cluster 4552,195.2065.peg.1676
Cluster 4553,195.2082.peg.314
Cluster 4554,195.2101.peg.1660
Cluster 4555,195.2117.peg.1811
Cluster 4556,195.2122.peg.906
Cluster 4557,195.2166.peg.1660
Cluster 4558,195.2172.peg.1599
Cluster 4559,195.2173.peg.1757
Cluster 4560,195.2174.peg.1810
Cluster 4561,195.2191.peg.1721
Cluster 4562,195.2206.peg.1584
Cluster 4563,195.2224.peg.300
Cluster 4564,195.2231.peg.1150
Cluster 4565,195.2254.peg.1906
Cluster 4566,195.2270.peg.1115
Cluster 4567,195.2291.peg.1740
Cluster 4568,195.2296.peg.1974
Cluster 4569,195.2296.peg.1973
Cluster 4570,195.2301.peg.489
Cluster 4571,195.2024.peg.1208
Cluster 4572,195.2027.peg.388
Cluster 4573,195.2032.peg.1707
Cluster 4574,195.2033.peg.1048
Cluster 4575,195.2034.peg.1536
Cluster 4576,195.2056.peg.1833
Cluster 4577,195.2061.peg.1600
Cluster 4578,195.2069.peg.418
Cluster 4579,195.2089.peg.123
Cluster 4580,195.2113.peg.1906
Cluster 4581,195.2130.peg.1822
Cluster 4582,195.2131.peg.166
Cluster 4583,195.2179.peg.330
Cluster 4584,195.2192.peg.36
Cluster 4585,195.2196.peg.1107
Cluster 4586,195.2219.peg.431
Cluster 4587,195.2244.peg.1858
Cluster 4588,195.2284.peg.554
Cluster 4589,195.2294.peg.1401
Cluster 4590,195.2024.peg.1010
Cluster 4591,195.2024.peg.1290
Cluster 4592,195.2031.peg.444
Cluster 4593,195.2033.peg.1034
Cluster 4594,195.2038.peg.1840
Cluster 4595,195.2048.peg.1133
Cluster 4596,195.2060.peg.1588
Cluster 4597,195.2065.peg.1729
Cluster 4598,195.2083.peg.1
Cluster 4599,195.2094.peg.903
Cluster 4600,195.2122.peg.958
Cluster 4601,195.2133.peg.1859
Cluster 4602,195.2144.peg.1679
Cluster 4603,195.2165.peg.1598
Cluster 4604,195.2172.peg.1872
Cluster 4605,195.2212.peg.875
Cluster 4606,195.2272.peg.1746
Cluster 4607,195.2286.peg.380
Cluster 4608,195.2288.peg.1831
Cluster 4609,195.2308.peg.563
Cluster 4610,195.2313.peg.1892
Cluster 4611,195.2024.peg.1087
Cluster 4612,195.2025.peg.1747
Cluster 4613,195.2027.peg.1193
Cluster 4614,195.2028.peg.1811
Cluster 4615,195.2030.peg.1732
Cluster 4616,195.2032.peg.1432
Cluster 4617,195.2039.peg.1707
Cluster 4618,195.2053.peg.1814
Cluster 4619,195.2057.peg.1704
Cluster 4620,195.2059.peg.1625
Cluster 4621,195.2061.peg.1722
Cluster 4622,195.2074.peg.840
Cluster 4623,195.2089.peg.765
Cluster 4624,195.2129.peg.1734
Cluster 4625,195.2142.peg.1709
Cluster 4626,195.2144.peg.1675
Cluster 4627,195.2148.peg.1434
Cluster 4628,195.2157.peg.1862
Cluster 4629,195.2172.peg.622
Cluster 4630,195.2225.peg.1874
Cluster 4631,195.2244.peg.1865
Cluster 4632,195.2292.peg.1801
Cluster 4633,195.2294.peg.519
Cluster 4634,195.2024.peg.1083
Cluster 4635,195.2024.peg.226
Cluster 4636,195.2024.peg.1375
Cluster 4637,195.2027.peg.380
Cluster 4638,195.2027.peg.167
Cluster 4639,195.2031.peg.748
Cluster 4640,195.2063.peg.1794
Cluster 4641,195.2097.peg.1797
Cluster 4642,195.2126.peg.171
Cluster 4643,195.2143.peg.700
Cluster 4644,195.2144.peg.1676
Cluster 4645,195.2155.peg.48
Cluster 4646,195.2157.peg.1561
Cluster 4647,195.2174.peg.1668
Cluster 4648,195.2187.peg.1864
Cluster 4649,195.2198.peg.518
Cluster 4650,195.2199.peg.349
Cluster 4651,195.2235.peg.1735
Cluster 4652,195.2244.peg.1709
Cluster 4653,195.2254.peg.1683
Cluster 4654,195.2300.peg.1780
Cluster 4655,195.2024.peg.866
Cluster 4656,195.2024.peg.1049
Cluster 4657,195.2024.peg.179
Cluster 4658,195.2024.peg.1352
Cluster 4659,195.2024.peg.1051
Cluster 4660,195.2024.peg.1416
Cluster 4661,195.2027.peg.389
Cluster 4662,195.2028.peg.11
Cluster 4663,195.2045.peg.1345
Cluster 4664,195.2052.peg.1190
Cluster 4665,195.2069.peg.1587
Cluster 4666,195.2092.peg.163
Cluster 4667,195.2095.peg.1328
Cluster 4668,195.2097.peg.1639
Cluster 4669,195.2119.peg.473
Cluster 4670,195.2124.peg.1463
Cluster 4671,195.2142.peg.1459
Cluster 4672,195.2142.peg.1879
Cluster 4673,195.2145.peg.405
Cluster 4674,195.2155.peg.1795
Cluster 4675,195.2173.peg.1326
Cluster 4676,195.2174.peg.1514
Cluster 4677,195.2214.peg.1632
Cluster 4678,195.2231.peg.1926
Cluster 4679,195.2233.peg.1889
Cluster 4680,195.2236.peg.1749
Cluster 4681,195.2239.peg.828
Cluster 4682,195.2243.peg.1829
Cluster 4683,195.2262.peg.1039
Cluster 4684,195.2024.peg.674
Cluster 4685,195.2024.peg.619
Cluster 4686,195.2024.peg.624
Cluster 4687,195.2024.peg.699
Cluster 4688,195.2026.peg.1382
Cluster 4689,195.2031.peg.1084
Cluster 4690,195.2032.peg.1770
Cluster 4691,195.2033.peg.49
Cluster 4692,195.2087.peg.108
Cluster 4693,195.2089.peg.1089
Cluster 4694,195.2089.peg.757
Cluster 4695,195.2111.peg.1953
Cluster 4696,195.2117.peg.1320
Cluster 4697,195.2118.peg.1091
Cluster 4698,195.2125.peg.1640
Cluster 4699,195.2145.peg.63
Cluster 4700,195.2151.peg.1020
Cluster 4701,195.2157.peg.1416
Cluster 4702,195.2163.peg.1062
Cluster 4703,195.2166.peg.1806
Cluster 4704,195.2170.peg.1477
Cluster 4705,195.2182.peg.1773
Cluster 4706,195.2187.peg.120
Cluster 4707,195.2234.peg.1020
Cluster 4708,195.2244.peg.1862
Cluster 4709,195.2311.peg.1082
Cluster 4710,195.2315.peg.341
Cluster 4711,195.2024.peg.1119
Cluster 4712,195.2024.peg.844
Cluster 4713,195.2024.peg.848
Cluster 4714,195.2027.peg.372
Cluster 4715,195.2030.peg.761
Cluster 4716,195.2030.peg.1733
Cluster 4717,195.2037.peg.1830
Cluster 4718,195.2047.peg.1711
Cluster 4719,195.2047.peg.1816
Cluster 4720,195.2051.peg.1264
Cluster 4721,195.2056.peg.818
Cluster 4722,195.2063.peg.1622
Cluster 4723,195.2065.peg.1294
Cluster 4724,195.2086.peg.501
Cluster 4725,195.2102.peg.1849
Cluster 4726,195.2102.peg.1140
Cluster 4727,195.2133.peg.1940
Cluster 4728,195.2151.peg.1603
Cluster 4729,195.2152.peg.1622
Cluster 4730,195.2192.peg.1701
Cluster 4731,195.2196.peg.1731
Cluster 4732,195.2233.peg.1709
Cluster 4733,195.2254.peg.1957
Cluster 4734,195.2313.peg.1594
Cluster 4735,195.2024.peg.1369
Cluster 4736,195.2024.peg.1485
Cluster 4737,195.2024.peg.553
Cluster 4738,195.2024.peg.1202
Cluster 4739,195.2026.peg.1383
Cluster 4740,195.2026.peg.1376
Cluster 4741,195.2026.peg.799
Cluster 4742,195.2029.peg.1562
Cluster 4743,195.2033.peg.302
Cluster 4744,195.2048.peg.1839
Cluster 4745,195.2052.peg.905
Cluster 4746,195.2054.peg.1091
Cluster 4747,195.2057.peg.1279
Cluster 4748,195.2065.peg.1595
Cluster 4749,195.2067.peg.1010
Cluster 4750,195.2069.peg.1232
Cluster 4751,195.2111.peg.1956
Cluster 4752,195.2113.peg.1272
Cluster 4753,195.2125.peg.1761
Cluster 4754,195.2130.peg.1719
Cluster 4755,195.2161.peg.311
Cluster 4756,195.2187.peg.1940
Cluster 4757,195.2192.peg.1466
Cluster 4758,195.2192.peg.1749
Cluster 4759,195.2201.peg.1092
Cluster 4760,195.2244.peg.1396
Cluster 4761,195.2313.peg.1869
Cluster 4762,195.2024.peg.1332
Cluster 4763,195.2024.peg.174
Cluster 4764,195.2026.peg.1409
Cluster 4765,195.2028.peg.31
Cluster 4766,195.2031.peg.495
Cluster 4767,195.2033.peg.1750
Cluster 4768,195.2039.peg.881
Cluster 4769,195.2046.peg.521
Cluster 4770,195.2052.peg.1462
Cluster 4771,195.2054.peg.1396
Cluster 4772,195.2065.peg.1667
Cluster 4773,195.2083.peg.1689
Cluster 4774,195.2094.peg.1800
Cluster 4775,195.2102.peg.1850
Cluster 4776,195.2102.peg.866
Cluster 4777,195.2111.peg.1896
Cluster 4778,195.2114.peg.1902
Cluster 4779,195.2133.peg.1121
Cluster 4780,195.2133.peg.1716
Cluster 4781,195.2144.peg.1779
Cluster 4782,195.2198.peg.1866
Cluster 4783,195.2201.peg.1726
Cluster 4784,195.2201.peg.1788
Cluster 4785,195.2201.peg.1113
Cluster 4786,195.2210.peg.293
Cluster 4787,195.2230.peg.1790
Cluster 4788,195.2244.peg.1880
Cluster 4789,195.2244.peg.1748
Cluster 4790,195.2246.peg.1458
Cluster 4791,195.2249.peg.1842
Cluster 4792,195.2255.peg.897
Cluster 4793,195.2024.peg.1693
Cluster 4794,195.2024.peg.1650
Cluster 4795,195.2024.peg.669
Cluster 4796,195.2024.peg.348
Cluster 4797,195.2028.peg.1534
Cluster 4798,195.2028.peg.21
Cluster 4799,195.2030.peg.1634
Cluster 4800,195.2042.peg.1785
Cluster 4801,195.2051.peg.1780
Cluster 4802,195.2056.peg.1633
Cluster 4803,195.2063.peg.1542
Cluster 4804,195.2063.peg.1941
Cluster 4805,195.2071.peg.1709
Cluster 4806,195.2085.peg.1879
Cluster 4807,195.2106.peg.1798
Cluster 4808,195.2125.peg.1819
Cluster 4809,195.2128.peg.427
Cluster 4810,195.2143.peg.1090
Cluster 4811,195.2169.peg.221
Cluster 4812,195.2184.peg.1758
Cluster 4813,195.2217.peg.1038
Cluster 4814,195.2027.peg.616
Cluster 4815,195.2027.peg.1153
Cluster 4816,195.2033.peg.1742
Cluster 4817,195.2042.peg.814
Cluster 4818,195.2044.peg.424
Cluster 4819,195.2046.peg.974
Cluster 4820,195.2061.peg.1367
Cluster 4821,195.2063.peg.1790
Cluster 4822,195.2100.peg.1653
Cluster 4823,195.2111.peg.1064
Cluster 4824,195.2130.peg.1799
Cluster 4825,195.2144.peg.1785
Cluster 4826,195.2150.peg.1821
Cluster 4827,195.2154.peg.1449
Cluster 4828,195.2170.peg.971
Cluster 4829,195.2172.peg.1835
Cluster 4830,195.2179.peg.234
Cluster 4831,195.2179.peg.1459
Cluster 4832,195.2185.peg.1442
Cluster 4833,195.2187.peg.909
Cluster 4834,195.2198.peg.1867
Cluster 4835,195.2225.peg.618
Cluster 4836,195.2233.peg.1672
Cluster 4837,195.2244.peg.529
Cluster 4838,195.2268.peg.532
Cluster 4839,195.2293.peg.1841
Cluster 4840,195.2299.peg.1032
Cluster 4841,195.2314.peg.1380
Cluster 4842,195.2024.peg.648
Cluster 4843,195.2024.peg.1720
Cluster 4844,195.2024.peg.1091
Cluster 4845,195.2026.peg.1283
Cluster 4846,195.2038.peg.1242
Cluster 4847,195.2038.peg.1232
Cluster 4848,195.2042.peg.1264
Cluster 4849,195.2064.peg.1711
Cluster 4850,195.2064.peg.1796
Cluster 4851,195.2067.peg.722
Cluster 4852,195.2085.peg.1237
Cluster 4853,195.2115.peg.795
Cluster 4854,195.2120.peg.2007
Cluster 4855,195.2128.peg.1457
Cluster 4856,195.2145.peg.1837
Cluster 4857,195.2207.peg.1748
Cluster 4858,195.2214.peg.1387
Cluster 4859,195.2216.peg.1255
Cluster 4860,195.2224.peg.925
Cluster 4861,195.2231.peg.1928
Cluster 4862,195.2250.peg.1796
Cluster 4863,195.2263.peg.1797
Cluster 4864,195.2279.peg.257
Cluster 4865,195.2286.peg.1936
Cluster 4866,195.2024.peg.1374
Cluster 4867,195.2024.peg.32
Cluster 4868,195.2024.peg.437
Cluster 4869,195.2026.peg.1386
Cluster 4870,195.2026.peg.1393
Cluster 4871,195.2027.peg.1429
Cluster 4872,195.2033.peg.1719
Cluster 4873,195.2039.peg.880
Cluster 4874,195.2060.peg.954
Cluster 4875,195.2069.peg.1785
Cluster 4876,195.2114.peg.1867
Cluster 4877,195.2129.peg.1178
Cluster 4878,195.2144.peg.1795
Cluster 4879,195.2144.peg.1388
Cluster 4880,195.2152.peg.185
Cluster 4881,195.2152.peg.1613
Cluster 4882,195.2164.peg.1769
Cluster 4883,195.2174.peg.1851
Cluster 4884,195.2198.peg.1224
Cluster 4885,195.2214.peg.1865
Cluster 4886,195.2237.peg.403
Cluster 4887,195.2239.peg.1778
Cluster 4888,195.2244.peg.1903
Cluster 4889,195.2254.peg.1999
Cluster 4890,195.2282.peg.296
Cluster 4891,195.2024.peg.1323
Cluster 4892,195.2024.peg.1021
Cluster 4893,195.2027.peg.512
Cluster 4894,195.2032.peg.1354
Cluster 4895,195.2033.peg.2
Cluster 4896,195.2033.peg.877
Cluster 4897,195.2039.peg.1715
Cluster 4898,195.2045.peg.1796
Cluster 4899,195.2063.peg.1762
Cluster 4900,195.2067.peg.987
Cluster 4901,195.2110.peg.141
Cluster 4902,195.2125.peg.1762
Cluster 4903,195.2129.peg.1736
Cluster 4904,195.2150.peg.643
Cluster 4905,195.2152.peg.1623
Cluster 4906,195.2157.peg.1181
Cluster 4907,195.2163.peg.1732
Cluster 4908,195.2171.peg.1031
Cluster 4909,195.2182.peg.1730
Cluster 4910,195.2184.peg.1523
Cluster 4911,195.2184.peg.1759
Cluster 4912,195.2187.peg.1085
Cluster 4913,195.2238.peg.1767
Cluster 4914,195.2244.peg.1771
Cluster 4915,195.2254.peg.1740
Cluster 4916,195.2254.peg.2005
Cluster 4917,195.2264.peg.270
Cluster 4918,195.2293.peg.1919
Cluster 4919,195.2024.peg.295
Cluster 4920,195.2024.peg.1239
Cluster 4921,195.2024.peg.1138
Cluster 4922,195.2027.peg.1465
Cluster 4923,195.2027.peg.269
Cluster 4924,195.2028.peg.33
Cluster 4925,195.2033.peg.98
Cluster 4926,195.2033.peg.831
Cluster 4927,195.2034.peg.640
Cluster 4928,195.2067.peg.1628
Cluster 4929,195.2096.peg.1262
Cluster 4930,195.2097.peg.700
Cluster 4931,195.2109.peg.30
Cluster 4932,195.2120.peg.471
Cluster 4933,195.2128.peg.1458
Cluster 4934,195.2130.peg.3
Cluster 4935,195.2138.peg.1821
Cluster 4936,195.2161.peg.1089
Cluster 4937,195.2163.peg.1694
Cluster 4938,195.2172.peg.1868
Cluster 4939,195.2172.peg.1580
Cluster 4940,195.2174.peg.1831
Cluster 4941,195.2199.peg.1864
Cluster 4942,195.2207.peg.1762
Cluster 4943,195.2208.peg.1565
Cluster 4944,195.2230.peg.534
Cluster 4945,195.2244.peg.1388
Cluster 4946,195.2244.peg.787
Cluster 4947,195.2252.peg.1725
Cluster 4948,195.2276.peg.1731
Cluster 4949,195.2286.peg.1868
Cluster 4950,195.2311.peg.1872
Cluster 4951,195.2313.peg.1877
Cluster 4952,195.2314.peg.1928
Cluster 4953,195.2024.peg.482
Cluster 4954,195.2024.peg.1660
Cluster 4955,195.2024.peg.1085
Cluster 4956,195.2024.peg.1647
Cluster 4957,195.2024.peg.1629
Cluster 4958,195.2027.peg.1171
Cluster 4959,195.2034.peg.1247
Cluster 4960,195.2036.peg.1643
Cluster 4961,195.2057.peg.1538
Cluster 4962,195.2063.peg.1460
Cluster 4963,195.2064.peg.891
Cluster 4964,195.2092.peg.1769
Cluster 4965,195.2092.peg.826
Cluster 4966,195.2120.peg.463
Cluster 4967,195.2144.peg.1844
Cluster 4968,195.2148.peg.1676
Cluster 4969,195.2151.peg.1609
Cluster 4970,195.2172.peg.1635
Cluster 4971,195.2192.peg.1144
Cluster 4972,195.2201.peg.1813
Cluster 4973,195.2223.peg.461
Cluster 4974,195.2239.peg.772
Cluster 4975,195.2240.peg.1658
Cluster 4976,195.2244.peg.1079
Cluster 4977,195.2276.peg.1459
Cluster 4978,195.2276.peg.669
Cluster 4979,195.2282.peg.1789
Cluster 4980,195.2286.peg.525
Cluster 4981,195.2293.peg.1031
Cluster 4982,195.2299.peg.1802
Cluster 4983,195.2024.peg.1328
Cluster 4984,195.2024.peg.1637
Cluster 4985,195.2024.peg.1378
Cluster 4986,195.2024.peg.1033
Cluster 4987,195.2024.peg.1610
Cluster 4988,195.2026.peg.1074
Cluster 4989,195.2033.peg.1745
Cluster 4990,195.2036.peg.1224
Cluster 4991,195.2048.peg.1828
Cluster 4992,195.2057.peg.1701
Cluster 4993,195.2065.peg.1746
Cluster 4994,195.2098.peg.590
Cluster 4995,195.2102.peg.98
Cluster 4996,195.2129.peg.15
Cluster 4997,195.2132.peg.1869
Cluster 4998,195.2137.peg.1813
Cluster 4999,195.2138.peg.1801
Cluster 5000,195.2140.peg.861
Cluster 5001,195.2140.peg.1287
Cluster 5002,195.2173.peg.712
Cluster 5003,195.2173.peg.1447
Cluster 5004,195.2174.peg.1852
Cluster 5005,195.2201.peg.1801
Cluster 5006,195.2203.peg.863
Cluster 5007,195.2232.peg.253
Cluster 5008,195.2264.peg.1785
Cluster 5009,195.2311.peg.1873
Cluster 5010,195.2024.peg.151
Cluster 5011,195.2033.peg.866
Cluster 5012,195.2054.peg.1174
Cluster 5013,195.2060.peg.831
Cluster 5014,195.2063.peg.1892
Cluster 5015,195.2065.peg.1747
Cluster 5016,195.2067.peg.721
Cluster 5017,195.2129.peg.1733
Cluster 5018,195.2132.peg.247
Cluster 5019,195.2144.peg.1800
Cluster 5020,195.2152.peg.1682
Cluster 5021,195.2172.peg.1783
Cluster 5022,195.2174.peg.1699
Cluster 5023,195.2178.peg.286
Cluster 5024,195.2182.peg.1574
Cluster 5025,195.2212.peg.1751
Cluster 5026,195.2240.peg.1435
Cluster 5027,195.2261.peg.1727
Cluster 5028,195.2286.peg.526
Cluster 5029,195.2288.peg.1834
Cluster 5030,195.2295.peg.1052
Cluster 5031,195.2024.peg.799
Cluster 5032,195.2024.peg.1178
Cluster 5033,195.2026.peg.22
Cluster 5034,195.2028.peg.1433
Cluster 5035,195.2033.peg.1748
Cluster 5036,195.2034.peg.1521
Cluster 5037,195.2048.peg.400
Cluster 5038,195.2053.peg.1349
Cluster 5039,195.2055.peg.1736
Cluster 5040,195.2063.peg.939
Cluster 5041,195.2064.peg.273
Cluster 5042,195.2102.peg.99
Cluster 5043,195.2153.peg.1069
Cluster 5044,195.2158.peg.1137
Cluster 5045,195.2165.peg.763
Cluster 5046,195.2172.peg.732
Cluster 5047,195.2189.peg.784
Cluster 5048,195.2194.peg.1114
Cluster 5049,195.2214.peg.1867
Cluster 5050,195.2237.peg.1859
Cluster 5051,195.2260.peg.1134
Cluster 5052,195.2286.peg.1101
Cluster 5053,195.2024.peg.559
Cluster 5054,195.2024.peg.1488
Cluster 5055,195.2033.peg.1728
Cluster 5056,195.2033.peg.2001
Cluster 5057,195.2063.peg.1872
Cluster 5058,195.2117.peg.254
Cluster 5059,195.2120.peg.862
Cluster 5060,195.2121.peg.660
Cluster 5061,195.2125.peg.1808
Cluster 5062,195.2130.peg.832
Cluster 5063,195.2133.peg.1102
Cluster 5064,195.2136.peg.1442
Cluster 5065,195.2145.peg.1811
Cluster 5066,195.2152.peg.1600
Cluster 5067,195.2155.peg.1540
Cluster 5068,195.2170.peg.1722
Cluster 5069,195.2173.peg.808
Cluster 5070,195.2176.peg.1722
Cluster 5071,195.2201.peg.1710
Cluster 5072,195.2209.peg.1932
Cluster 5073,195.2231.peg.1813
Cluster 5074,195.2244.peg.1394
Cluster 5075,195.2244.peg.1421
Cluster 5076,195.2254.peg.1565
Cluster 5077,195.2024.peg.1586
Cluster 5078,195.2024.peg.276
Cluster 5079,195.2024.peg.851
Cluster 5080,195.2027.peg.1205
Cluster 5081,195.2028.peg.37
Cluster 5082,195.2029.peg.1609
Cluster 5083,195.2031.peg.1538
Cluster 5084,195.2031.peg.1826
Cluster 5085,195.2039.peg.1806
Cluster 5086,195.2053.peg.1562
Cluster 5087,195.2060.peg.1752
Cluster 5088,195.2064.peg.1794
Cluster 5089,195.2065.peg.869
Cluster 5090,195.2082.peg.1814
Cluster 5091,195.2085.peg.459
Cluster 5092,195.2095.peg.1525
Cluster 5093,195.2117.peg.440
Cluster 5094,195.2120.peg.1232
Cluster 5095,195.2136.peg.1781
Cluster 5096,195.2136.peg.848
Cluster 5097,195.2144.peg.1673
Cluster 5098,195.2146.peg.1818
Cluster 5099,195.2165.peg.1514
Cluster 5100,195.2175.peg.1317
Cluster 5101,195.2179.peg.1838
Cluster 5102,195.2201.peg.1800
Cluster 5103,195.2237.peg.227
Cluster 5104,195.2254.peg.2007
Cluster 5105,195.2264.peg.269
Cluster 5106,195.2268.peg.1055
